questionId,type,kpId,textId,question,options,answer,xp
q115,choice,kp_v_qi_1,CROSS,『其真無馬邪？其真不知馬也』中兩個『其』表示？,代詞|反問加推測語氣|連詞|動詞,反問加推測語氣,8
q116,choice,kp_v_qi_2,CROSS,『其鄉人曰』中『其』的用法是？,代詞(他的)|語氣詞|連詞|動詞,代詞(他的),8
q117,choice,kp_v_wei_1,CROSS,『為趙將』中『為』的意思是？,做/成為|替|被|語氣詞,做/成為,8
q118,choice,kp_v_wei_2,CROSS,『何辭為』中『為』的用法是？,動詞|介詞|被動|疑問句末語氣詞,疑問句末語氣詞,8
q119,choice,kp_v_yi_1,CROSS,『以叢草為林』中『以』的意思是？,用/憑|因為|來/以便|把...當作,把...當作,8
q120,choice,kp_v_yi_2,CROSS,『不以物喜』中『以』的意思是？,用/憑|因為|來/以便|把...當作,因為,8
q121,choice,kp_v_yu_1,CROSS,『苛政猫於虎』中『於』表示？,在|比|对於|被,比,8
q122,choice,kp_v_yu_2,CROSS,『生於憂患』中『於』表示？,在|比|对於|被,在,8
q123,choice,kp_v_ze_1,CROSS,『入則無法家拂士』中『則』表示？,那麼/就|卻，表轉折|僅僅|如果,如果,8
q124,choice,kp_v_ze_2,CROSS,『學而不思則網』中『則』表示？,那麼/就|卻，表轉折|僅僅|如果,那麼/就,8
q125,choice,kp_v_qie_1,CROSS,『且焉置土石』中『且』表示？,而且|況且|將要|暫且,況且,8
q126,choice,kp_v_qie_2,CROSS,『存者且偷生』中『且』表示？,而且|況且|將要|暫且,暫且,8
q127,choice,kp_v_ruo_1,CROSS,『若無罪而就死地』中『若』的意思是？,如果|好像|你|及,好像,8
q128,choice,kp_v_ruo_2,CROSS,『若毒之乎』中『若』的意思是？,如果|好像|你|及,你,8
q129,choice,kp_v_suo_1,CROSS,『魚，我所欲也』中『所』的用法是？,處所|與動詞組成名詞性結構|原因|方法,與動詞組成名詞性結構,8
q130,choice,kp_v_suo_2,CROSS,『所以動心忍性』中『所以』表示？,處所|用來（的方法）|原因|結果,用來（的方法）,8
q131,choice,kp_v_yin_1,CROSS,『因利乘便』中『因』的意思是？,因為|依靠/憑藉|於是|經由,依靠/憑藉,8
q132,choice,kp_v_yin_2,CROSS,『因坐』中『因』表示？,因為|依靠|於是|趨機,於是,8
q133,choice,kp_v_he_1,CROSS,『何這之有』中『何』的意思是？,什麼|為什麼|怎麼樣|多麼,什麼,8
q134,choice,kp_v_he_2,CROSS,『何不用也』中『何』的意思是？,什麼|為什麼|怎麼樣|多麼,為什麼,8
q135,choice,kp_v_yu2_1,CROSS,『吾誰與歸』中『與』的用法是？,和/跟|給予|參與|語氣詞(嗎),和/跟,8
q136,choice,kp_v_yu2_2,CROSS,『可與言』中『與』的用法是？,和/跟|給予|參與|語氣詞(嗎),和/跟,8
q137,choice,kp_ly_1,lunyu,『不仁者，不可以久處約』中『約』的意思是？,節省|貧困|約定|簡单,貧困,8
q138,choice,kp_ly_2,lunyu,『君子去仁，惡乎成名』中『惡』的意思是？,厨惡|怎麼|邪惡|罪惡,怎麼,8
q139,fill,kp_ly_3,lunyu,子曰：「不仁者，不可以久處約，____________。」,,不可以長處樂,10
q140,fill,kp_ly_4,lunyu,子曰：「志士仁人，無求生以害仁，____________。」,,有殺身以成仁,10
q141,choice,kp_ly_5,lunyu,『君子坦蕩蕩，小人長戚戚』運用了什麼寫作手法？,對比|比喻|反問|排比,對比,8
q142,choice,kp_ly_6,lunyu,『一則以喜，一則以懼』中『則』表示？,就|然而|僅|如果,就,8
q143,fill,kp_ly_7,lunyu,子曰：「父母之年，____________，一則以喜，一則以懼。」,,不可不知也,10
q144,choice,kp_yw_1,yuwo,『二者不可得入入』中『入入』的意思是？,同時得到|分開|減少|增加,同時得到,8
q145,choice,kp_yw_2,yuwo,『故患有所不避也』中『避』通假為？,避|僻|関|譯,避,8
q146,fill,kp_yw_3,yuwo,魚，我所欲也；熊掌，亦我所欲也；____________，舍魚而取熊掌者也。,,二者不可得兼,10
q147,fill,kp_yw_4,yuwo,生亦我所欲，____________，故不為苟得也。,,所欲有甚於生者,10
q148,choice,kp_yw_5,yuwo,本文運用魚與熊掌作為甚麼手法的例子？,比喻論證|對比論證|舉例論證|引用論證,比喻論證,8
q149,choice,kp_yw_6,yuwo,『非獨賢者有是心也』中『是』的意思是？,這|對的|判斷詞|此人,這,8
q150,choice,kp_xy_1,xiaoyaoyou,『鵬之背，不知其幾千里也』中『之』的用法是？,代詞|結構助詞(的)|動詞|主謂之間,主謂之間,8
q151,choice,kp_xy_2,xiaoyaoyou,『水擊三千里』中『擊』的意思是？,拍打水面|攻擊|打擊|撞擊,拍打水面,8
q152,fill,kp_xy_3,xiaoyaoyou,北冥有魚，其名為鯤。鯤之大，____________。,,不知其幾千里也,10
q153,choice,kp_xy_4,xiaoyaoyou,莊子藉大鵬與蜩、學鳩的對比，表達甚麼主旨？,大小之辨與逍遙境界|諷刺權貴|勸人向學|論述天道,大小之辨與逍遙境界,8
q154,choice,kp_xy_5,xiaoyaoyou,『之二蟲又何知』中『之』的用法是？,結構助詞(的)|這|動詞|代詞,這,8
q155,choice,kp_qx_1,quanxue,『學不可以已』中『已』的意思是？,已經|停止|太|罷了,停止,8
q156,choice,kp_qx_2,quanxue,『青，取之於藍，而青於藍』運用了甚麼論證方法？,舉例論證|比喻論證|對比論證|引用論證,比喻論證,8
q157,fill,kp_qx_3,quanxue,青，取之於藍，____________。冰，水為之，而寒於水。,,而青於藍,10
q158,choice,kp_qx_4,quanxue,『假輿馬者，非利足也，而致千里』中『假』的意思是？,假裝|借助|假如|虛假,借助,8
q159,choice,kp_qx_5,quanxue,『鍥而不舍，金石可鏤』中『鍥』的意思是？,雕刻|放棄|堅持|切割,雕刻,8
q160,choice,kp_lp_1,lianpo,『廉頗者，趙之良將也』屬於哪種句式？,判斷句|被動句|省略句|倒裝句,判斷句,8
q161,choice,kp_lp_2,lianpo,『秦城恐不可得，徒見欺』中『見』表示？,看見|被|出現|召見,被,8
q162,choice,kp_lp_3,lianpo,『君不如肉袒伏斧質請罪』中『質』通假為？,鑕（砧板）|質問|質地|抵押,鑕（砧板）,8
q163,choice,kp_lp_4,lianpo,『均之二策，寧許以負秦曲』中『負』的意思是？,背負|使承擔|辜負|失敗,使承擔,8
q164,choice,kp_lp_5,lianpo,『臣竊以為其人勇士』中『竊』的意思是？,偷|私下謙詞|竊取|悄悄,私下謙詞,8
q165,choice,kp_lp_6,lianpo,藺相如完璧歸趙展現了他甚麼性格？,智勇雙全|貪生怕死|魯莽衝動|懦弱無能,智勇雙全,8
q166,fill,kp_lp_7,lianpo,廉頗者，趙之良將也。____________，拜為上卿，以勇氣聞於諸侯。,,趙惠文王時,10
q167,choice,kp_lp_8,lianpo,負荊請罪中廉頗向藺相如認錯，反映廉頗甚麼品格？,勇於改過|驕傲自大|記恨小人|膽小怕事,勇於改過,8
q168,choice,kp_lp_9,lianpo,『和氏璧，天下所共傳寶也』屬於哪種句式？,判斷句|被動句|省略句|倒裝句,判斷句,8
q169,mark,kp_lp_10,lianpo,點擊句中的通假字：君不如肉袒伏斧質請罪,君/不/如/肉/袒/伏/斧/質/請/罪,7,5
q170,choice,kp_cs_1,chushibiao,『先帝不以臣卑鄙』中『卑鄙』的意思是？,品行惡劣|身分低微見識淺薄|卑劣可恥|地位卑下,身分低微見識淺薄,8
q171,choice,kp_cs_2,chushibiao,『由是感激，遂許先帝以驅馳』中『感激』的意思是？,感謝|感動奮發|激動|感恩,感動奮發,8
q172,fill,kp_cs_3,chushibiao,先帝不以臣卑鄙，猥自枉屈，____________，諮臣以當世之事。,,三顧臣於草廬之中,10
q173,choice,kp_cs_4,chushibiao,諸葛亮寫出師表的目的是？,勸諫劉禪並表明出征決心|炫耀功績|請求辭官|記述戰功,勸諫劉禪並表明出征決心,8
q174,choice,kp_cs_5,chushibiao,『親賢臣，遠小人』運用了甚麼手法勸諫？,正反對比|比喻|引用|排比,正反對比,8
q175,choice,kp_ss_1,shishuo,『吾從而師之』中『師』的用法是？,名詞作動詞|形容詞作動詞|使動用法|意動用法,名詞作動詞,8
q176,choice,kp_ss_2,shishuo,『生乎吾前』中『乎』的用法是？,疑問語氣詞|介詞於|代詞|感嘆詞,介詞於,8
q177,fill,kp_ss_3,shishuo,古之學者必有師。師者，____________。,,所以傳道受業解惑也,10
q178,choice,kp_ss_4,shishuo,韓愈認為擇師的標準是？,年齡大小|地位高低|道之所存|財富多少,道之所存,8
q179,choice,kp_ss_5,shishuo,『是故弟子不必不如師』中『不必』的意思是？,不需要|不一定|禁止|必然不,不一定,8
q180,choice,kp_xd_1,xidexishan,『自余為僇人』中『僇』通假為？,戮罪人|謬|流|繆,戮罪人,8
q181,choice,kp_xd_2,xidexishan,『心凝形釋，與萬化冥合』表達了作者甚麼心境？,與自然融合的超脫|悲傷絕望|憤怒不平|孤獨寂寞,與自然融合的超脫,8
q182,fill,kp_xd_3,xidexishan,自余為僇人，居是州，____________。,,恆惴慄,10
q183,choice,kp_xd_4,xidexishan,作者遊西山後領悟到甚麼？,天地雖大我心自適|人生短暫應及時行樂|仕途險惡應退隱山林|自然美景勝過名利,天地雖大我心自適,8
q184,choice,kp_yy_1,yueyanglou,『謫守巴陵郡』中『謫』的意思是？,提拔|貶官|辭職|退休,貶官,8
q185,choice,kp_yy_2,yueyanglou,『微斯人，吾誰與歸』屬於哪種特殊句式？,賓語前置|狀語後置|定語後置|主謂倒裝,賓語前置,8
q186,fill,kp_yy_3,yueyanglou,先天下之憂而憂，____________。,,後天下之樂而樂,10
q187,choice,kp_yy_4,yueyanglou,『先後天下之憂而憂』中『先』『後』屬於？,名詞作動詞|使動用法|意動用法|被動用法,使動用法,8
q188,reorder,kp_yy_5,yueyanglou,將詞塊排成正確語序（原句：吾誰與歸）,吾|誰|與|歸,吾|誰|與|歸,10
q189,choice,kp_yy_6,yueyanglou,『不以物喜，不以己悲』中『以』的意思是？,用|因為|來|把,因為,8
q190,fill,kp_yy_7,yueyanglou,登斯樓也，則有____________，寵辱偕忘。,,去國懷鄉憂讒畏譛,10
q191,choice,kp_lg_1,liuguolun,『六國破滅，非兵不利，戰不善』中『兵』的意思是？,兵法|士兵|武器|戰爭,武器,8
q192,choice,kp_lg_2,liuguolun,『而智勇多困於所溺』屬於哪種句式？,被動句|判斷句|省略句|倒裝句,被動句,8
q193,fill,kp_lg_3,liuguolun,六國破滅，非兵不利，戰不善，____________。,,弊在賂秦,10
q194,choice,kp_lg_4,liuguolun,蘇洵認為六國滅亡的根本原因是？,賄賂秦國導致力量削弱|軍事實力不足|君主無能|天命所致,賄賂秦國導致力量削弱,8
q195,choice,kp_lg_5,liuguolun,『以地事秦，猶抱薪救火』運用了甚麼手法？,比喻|對偶|排比|反問,比喻,8
q196,choice,kp_ts_1,tangshi3,山居秋暝中『空山新雨後』中『空』的意境是？,空無一物|清幽寧靜|荒涼|寂寞,清幽寧靜,8
q197,fill,kp_ts_2,tangshi3,空山新雨後，____________。,,天氣晚來秋,10
q198,choice,kp_ts_3,tangshi3,月下獨酌中『舉杯邀明月，對影成三人』表達詩人甚麼心情？,孤獨中的自我排解|歡樂團聚|思念家鄉|感嘆時光,孤獨中的自我排解,8
q199,fill,kp_ts_4,tangshi3,花間一壺酒，____________。,,獨酌無相親,10
q200,choice,kp_ts_5,tangshi3,登樓中杜甫借登樓所見表達了甚麼？,憂國憂時之情|閒適自得|懷才不遇|歌頌美景,憂國憂時之情,8
q201,choice,kp_sc_1,songci3,念奴嬌赤壁懷古中『大江東去，浪淘盡』運用了甚麼手法？,借景抒情|直接抒情|比喻|對偶,借景抒情,8
q202,fill,kp_sc_2,songci3,大江東去，____________，千古風流人物。,,浪淘盡,10
q203,choice,kp_sc_3,songci3,聲聲慢中『尋尋覓覓，冷冷清清』運用了甚麼修辭手法？,疊字|對偶|反問|誇張,疊字,8
q204,choice,kp_sc_4,songci3,青玉案元夕中『那人卻在，燈火闌珊處』表達了甚麼意境？,淡泊自守不慕榮華|熱鬧繁華|思鄉懷人|孤獨寂寞,淡泊自守不慕榮華,8
q205,fill,kp_sc_5,songci3,眾裡尋他千百度。驀然回首，____________。,,那人卻在燈火闌珊處,10
q206,choice,kp_sx_extra_1,lianpo,『廉頗者，趙之良將也』屬於哪種句式？,判斷句|被動句|省略句|倒裝句,判斷句,8
q207,choice,kp_sx_extra_2,yuwo,『魚，我所欲也』屬於哪種句式？,判斷句|被動句|省略句|倒裝句,判斷句,8
q208,choice,kp_sx_extra_3,lianpo,『秦城恐不可得，徒見欺』屬於哪種句式？,判斷句|被動句|省略句|倒裝句,被動句,8
q209,choice,kp_sx_extra_4,liuguolun,『而智勇多困於所溺』屬於哪種句式？,判斷句|被動句|省略句|倒裝句,被動句,8
q210,choice,kp_sx_extra_5,yueyanglou,『微斯人，吾誰與歸』屬於哪種句式？,判斷句|被動句|省略句|倒裝句,倒裝句,8
q211,choice,kp_sx_extra_6,lianpo,廉頗為趙將，伐齊，大破之，屬於哪種句式？,判斷句|被動句|省略句|倒裝句,省略句,8
q212,choice,kp_sx_extra_7,CROSS,『時人莫之許也』屬於哪種句式？,判斷句|被動句|省略句|倒裝句,倒裝句,8
q213,choice,kp_sx_extra_8,CROSS,『覆之以掌，虛若無物』屬於哪種句式？,判斷句|被動句|省略句|倒裝句,倒裝句,8
q214,mark,kp_cy_extra_1,yueyanglou,點擊句中活用的字：先天下之憂而憂，後天下之樂而樂,先/天/下/之/憂/而/憂/，/後/天/下/之/樂/而/樂,0|8,5
q215,mark,kp_cy_extra_2,shishuo,點擊句中活用的字：吾從而師之,吾/從/而/師/之,3,5
q216,mark,kp_cy_extra_3,CROSS,點擊句中活用的字：天雨牆壞,天/雨/牆/壞,1,5
q217,mark,kp_cy_extra_4,CROSS,點擊句中活用的字：漁人甚異之,漁/人/甚/異/之,3,5
q218,choice,kp_gj_extra_1,chushibiao,『先帝不以臣卑鄙』中『卑鄙』的古義是？,品行惡劣|身分低微見識淺薄|卑劣可恥|粗俗,身分低微見識淺薄,8
q219,choice,kp_gj_extra_2,chushibiao,『由是感激，遂許先帝以驅馳』中『感激』的古義是？,感謝|感動奮發|激動流淚|感恩戴德,感動奮發,8
q220,choice,kp_gj_extra_3,CROSS,『率妻子邑人來此絕境』中『妻子』的古義是？,配偶女方|妻及子女|妻子的父母|妻子娘家人,妻及子女,8
q221,choice,kp_gj_extra_4,CROSS,『寡助之至，親戚畔之』中『親戚』的古義是？,泛指姻親血親|父母兄弟等至親|妻子娘家|朋友,父母兄弟等至親,8
q222,choice,kp_gj_extra_5,CROSS,『犧牲玉帛，弗敢加也』中『犧牲』的古義是？,為目的捨棄生命|祭祀用的牲畜|犧牲品|獻祭,祭祀用的牲畜,8
q223,choice,kp_tj_extra_1,CROSS,『戰于長勺』中『于』通假為？,於|予|餘|與,於,8
q224,choice,kp_tj_extra_2,CROSS,『孰為汝多知乎』中『知』通假為？,智|知道|之|織,智,8
q225,choice,kp_tj_extra_3,CROSS,『圖窮而匕首見』中『見』通假為？,現|見面|看見|建,現,8
q226,choice,kp_tj_extra_4,lianpo,『君不如肉袒伏斧質請罪』中『質』通假為？,鑕（砧板）|質問|質地|抵押,鑕（砧板）,8
q227,choice,kp_tj_extra_5,lianpo,『可予不』中『不』通假為？,否|不是|無|未,否,8
q228,match,kp_match_extra_1,CROSS,將之的用法與例句配對,之動詞往|輟耕之壟上;之代詞他|公與之乘;之結構助詞的|三里之城,,6
q229,match,kp_match_extra_2,CROSS,將而的用法與例句配對,而轉折|人不知而不慍;而順承|舍魚而取熊掌;而並列|蟹六跂而二螯,,6
q230,match,kp_match_extra_3,CROSS,將以的用法與例句配對,以因為|不以物喜;以用|以叢草為林;以認為|皆以美於徐公,,6
q231,match,kp_match_extra_4,CROSS,將其的用法與例句配對,其代詞|其鄉人曰;其反問語氣|其孰能譏之乎;其推測語氣|其真無馬邪,,6
q232,match,kp_match_extra_5,CROSS,將四大句式與例句配對,判斷句|廉頗者趙之良將也;被動句|秦城恐不可得徒見欺;倒裝句|微斯人吾誰與歸,,6
q233,reorder,kp_reorder_extra_1,lianpo,將詞塊排成正確語序（賓語前置例句）,時|人|莫|之|許|也,時|人|莫|之|許|也,10
q234,reorder,kp_reorder_extra_2,yueyanglou,將詞塊排成正確語序（岳陽樓記）,吾|誰|與|歸,吾|誰|與|歸,10
q235,reorder,kp_reorder_extra_3,lunyu,將詞塊排成正確語序（論仁論孝論君子）,君|子|坦|蕩|蕩,君|子|坦|蕩|蕩,10
