questionId,type,kpId,textId,question,options,answer,xp
gq038,choice,sx_006,yueyanglou,『吾誰與歸』按現代漢語語序可調整為？,吾與誰歸|誰吾與歸|吾歸與誰|與誰吾歸,吾與誰歸,8
gq039,choice,sx_006,CROSS,下列哪一句最能體現疑問代詞作賓語前置？,吾誰與歸|廉頗者趙之良將也|徒見欺|生於憂患,吾誰與歸,8
gq040,choice,sx_008,CROSS,『覆之以掌』按現代漢語語序理解較接近？,以掌覆之|覆以之掌|之覆以掌|掌覆以之,以掌覆之,8
gq041,choice,sx_008,CROSS,『覆之以掌』中的『以掌』置於動詞之後，屬於？,狀語後置|賓語前置|定語後置|判斷句,狀語後置,8
gq042,choice,kp_translation_001,yueyanglou,『微斯人，吾誰與歸』最恰當的白話翻譯是？,如果沒有這樣的人，我和誰一道呢|這個人很微小，我應跟他回去|沒有人知道我要去哪裡|我不願與任何人同行,如果沒有這樣的人，我和誰一道呢,8
gq043,choice,kp_translation_001,yueyanglou,翻譯『微斯人』時，『微』最接近？,如果沒有|微小|卑微|稍微,如果沒有,8
gq044,choice,kp_theme_001,yueyanglou,『不以物喜，不以己悲』表現作者提倡哪種處世態度？,不因外物與個人得失而大起大落|完全沒有情感|凡事追求快樂|只關心自己,不因外物與個人得失而大起大落,8
gq045,choice,kp_theme_001,yueyanglou,由『不以物喜，不以己悲』到『先天下之憂而憂』，文章思想層次有何推進？,由個人情懷提升到天下責任|由政治轉向遊樂|由悲傷轉向逃避|由寫景轉為記事,由個人情懷提升到天下責任,8
gq046,choice,kp_argument_001,CROSS,以具體事例支持中心論點，通常稱為甚麼論證方法？,舉例論證|比喻論證|對比論證|引用論證,舉例論證,8
gq047,choice,kp_argument_002,CROSS,把兩種相反或相對情況放在一起比較以突出觀點，通常稱為？,對比論證|引用論證|比喻論證|因果論證,對比論證,8
gq048,choice,kp_argument_003,CROSS,以熟悉事物作比方來說明較抽象道理，通常稱為？,比喻論證|舉例論證|引用論證|歸納論證,比喻論證,8
